,X,Time,ICS,ICC,ICE,PAGO,PEXP,BUS12,BUS5,DUR
89,89,4/3/2008,65.56176471,91.04529412,49.19,13.93138445,13.93138445,2.612134584,12.18996139,20.89707667
90,90,4/4/2008,68.11533333,80.21066667,60.344,13.81528958,14.80209598,8.881257586,11.84167678,16.77570877
91,91,4/5/2008,92.15636364,108.6509091,81.56,18.83903124,17.49338615,12.1108058,18.83903124,22.87596651
92,92,4/6/2008,61.20764706,64.33117647,59.2,11.31924986,13.06067292,10.44853834,11.31924986,13.06067292
93,93,4/7/2008,65.10421053,85.65631579,51.89947368,12.46492293,12.46492293,7.79057683,10.12774988,20.25549976
94,94,4/8/2008,60.0232,95.8544,37.0064,18.35459901,12.43376062,3.552503034,5.328754552,18.35459901
95,95,4/9/2008,52.98444444,52.45777778,53.32111111,13.15741865,16.44677331,6.578709323,8.223386654,6.578709323
96,96,4/10/2008,67.78888889,77.68777778,61.42444444,19.73612797,23.02548263,3.289354662,9.868063985,9.868063985
97,97,4/11/2008,40.06142857,45.25,36.72857143,12.68751084,19.03126626,2.11458514,0,4.229170279
98,98,4/12/2008,65.24454545,70.80727273,61.67,9.419515622,16.14774107,8.073870533,12.1108058,17.49338615
99,99,4/13/2008,57.50625,87.15125,38.465,11.10157198,11.10157198,3.700523994,7.401047988,22.20314397
100,100,4/14/2008,64.90833333,83.99583333,52.64583333,14.80209598,14.80209598,4.934031992,11.10157198,17.26911197
101,101,4/15/2008,58.248,67.59533333,52.24066667,10.85487038,15.78890238,3.947225594,10.85487038,14.80209598
102,102,4/16/2008,59.35875,68.2275,53.65875,11.10157198,16.65235797,0,14.80209598,14.80209598
103,103,4/17/2008,56.97714286,77.68857143,43.67428571,8.458340558,12.68751084,2.11458514,10.5729257,21.1458514
104,104,4/18/2008,78.47666667,90.30333333,70.87833333,22.20314397,19.73612797,12.33507998,9.868063985,12.33507998
105,105,4/19/2008,82.35428571,99.31571429,71.45714286,16.91668112,21.1458514,8.458340558,12.68751084,21.1458514
106,106,4/20/2008,51.78909091,57.04636364,48.41,8.073870533,12.1108058,5.382580355,10.76516071,13.45645089
107,107,4/21/2008,51.34,57.50466667,47.37866667,6.907644789,11.84167678,4.934031992,10.85487038,14.80209598
108,108,4/22/2008,50.91086957,66.17086957,41.1073913,12.22781842,13.5149572,4.504985732,5.792124513,12.87138781
109,109,4/23/2008,67.127,77.688,60.344,17.76251517,13.32188638,8.881257586,13.32188638,11.84167678
110,110,4/24/2008,76.99666667,102.9186667,60.344,13.81528958,17.76251517,8.881257586,8.881257586,25.65696636
111,111,4/25/2008,62.49521739,72.75173913,55.90478261,10.29711024,12.22781842,9.009971464,11.58424903,17.37637354
112,112,4/26/2008,47.59,48.9268,46.7304,6.51292223,14.21001214,5.328754552,7.697089908,11.84167678
113,113,4/27/2008,63.59483871,71.58419355,58.46193548,11.93717417,16.71204384,7.162304505,10.50471327,15.27958294
114,114,4/28/2008,55.00032258,74.02645161,42.77806452,10.50471327,13.84712204,1.909947868,9.072252373,17.66701778
115,115,4/29/2008,46.91586207,58.11344828,39.72241379,10.71875916,10.71875916,2.041668411,10.20834205,11.22917626
116,116,4/30/2008,53.8075,63.49708333,47.58125,12.33507998,14.18534198,4.934031992,8.634555986,11.71832598
117,117,5/1/2008,70.46,90.3025,57.71041667,14.18534198,12.33507998,8.017801987,13.56858798,20.35288197
118,118,5/2/2008,54.37538462,86.42153846,33.79,17.07934151,10.24760491,1.138622767,7.970359372,15.94071874
119,119,5/3/2008,81.70384615,89.33384615,76.8,17.07934151,20.49520981,7.970359372,17.07934151,17.07934151
120,120,5/4/2008,55.45222222,69.27777778,46.56833333,10.69040265,14.80209598,5.756370658,6.578709323,15.62443464
121,121,5/5/2008,55.2865,64.4425,49.4045,11.84167678,10.36146718,5.180733592,13.32188638,12.58178158
122,122,5/6/2008,58.74166667,69.80458333,51.63291667,9.868063985,17.26911197,4.317277993,8.634555986,16.65235797
123,123,5/7/2008,62.55454545,91.45,43.99,17.49338615,12.1108058,1.345645089,12.1108058,17.49338615
124,124,5/8/2008,58.24733333,77.69,45.758,11.84167678,13.81528958,2.960419195,9.868063985,17.76251517
125,125,5/9/2008,50.76,48.74882353,52.05,5.224269168,14.80209598,5.224269168,10.44853834,13.06067292
126,126,5/10/2008,63.89818182,77.69,55.04,12.1108058,17.49338615,4.036935266,10.76516071,17.49338615
127,127,5/11/2008,50.10666667,52.45916667,48.59416667,13.56858798,13.56858798,2.467015996,12.33507998,6.16753999
128,128,5/12/2008,66.43176471,62.10529412,69.21,10.44853834,17.41423056,10.44853834,13.06067292,13.06067292
129,129,5/13/2008,64.9075,96.61125,44.5425,20.35288197,16.65235797,3.700523994,5.550785991,16.65235797
130,130,5/14/2008,58.74083333,74.53333333,48.59416667,11.10157198,14.80209598,4.934031992,8.634555986,17.26911197
131,131,5/15/2008,63.32285714,115.5342857,29.78285714,21.1458514,12.68751084,0,4.229170279,23.26043653
132,132,5/16/2008,56.27444444,65.07444444,50.62,14.80209598,8.223386654,4.934031992,16.44677331,9.868063985
133,133,5/17/2008,61.20777778,81.89222222,47.91888889,13.15741865,16.44677331,4.934031992,6.578709323,18.09145064
134,134,5/18/2008,48.87333333,77.69,30.36166667,4.934031992,17.26911197,0,0,24.67015996
135,135,5/19/2008,53.806875,77.689375,38.465,11.10157198,14.80209598,3.700523994,3.700523994,18.50261997
136,136,5/20/2008,63.18066667,75.166,55.482,10.85487038,12.82848318,7.894451188,11.84167678,17.76251517
